current_age,initial_corpus,monthly_invest,annual_expense,inflation_rate,equity_return_expected,final_wealth
47,7128003.665899584,83384.44170501162,1642764.3324818157,0.06397667523641364,0.1558898759914821,0.0
49,9726744.755775414,173086.72755747542,1468263.6664466092,0.049125591447539946,0.1155795525365603,111933183.67111552
40,9714493.361172166,89556.09719283665,650128.7229032668,0.08878800665688102,0.1317256601819413,0.0
43,8373314.440456843,21767.936600231766,849879.5681392025,0.05673024822904513,0.1281931355851348,0.0
22,2962211.6720818407,47298.4605503772,839023.257743195,0.07067586697767181,0.12645177967269297,0.0
39,6485047.459033362,137527.9126984295,2163517.7676587775,0.044850678609333165,0.13969855439799397,0.0
41,2521445.616095795,123649.08020943527,2261684.0844038916,0.06725506508638644,0.09087567436790103,0.0
48,6250820.323039442,93270.39166169618,1575295.5596950287,0.06835937044105672,0.09094571756318326,0.0
25,7096787.116543414,82419.13155623761,1287289.377998213,0.07051626238653666,0.08589086714049281,0.0
43,4954098.588520152,120324.66434778765,732401.8834540008,0.04163060742036316,0.083879749136247,43768966.21159391
31,7177883.204085947,64019.4780186357,1888439.0939661842,0.08491365593787058,0.09152937476417441,0.0
37,5651969.585472125,84086.45505153468,466025.217753225,0.0411450884799026,0.1119828378693194,63039994.220842205
45,7402584.491912015,74578.60016461015,575209.1915337323,0.08498284859761783,0.08490761581984392,14443303.889822159
38,9861030.552710552,188933.83831300656,1507833.0045715033,0.06256241302622252,0.15085724422083943,225960328.55459765
44,3611495.2076684623,126708.83797995243,1889309.2865287263,0.07237591983045208,0.12017129064490549,0.0
36,4023853.5820983946,61006.57997348591,556666.463892831,0.06670329035464971,0.12218491680883463,0.0
27,5123755.411422236,71529.28288245681,1002123.234777211,0.044447035708433426,0.12135728133832421,0.0
42,2818375.4923864235,159667.65106062987,379701.3414461786,0.07930161950706888,0.09028476886740233,56990707.66192215
29,6654976.546571945,146105.05279499822,2110314.717514038,0.06153249598911836,0.08425996857379209,0.0
48,8928945.602715198,140900.45075466813,978913.9577588824,0.05707120736369897,0.10660121024037768,66912760.89383021
25,7270038.322731789,17352.12145455594,615537.312817758,0.0758905721657218,0.08427826084068676,0.0
35,4969363.0947122,89716.83236330748,1321645.6434520618,0.07089496865196199,0.1040533761499216,0.0
26,3927895.5758556607,135305.57960264565,471723.6485275824,0.05529359071767196,0.11806233199330825,41016514.92319333
42,123152.66086699013,88807.53326279056,988024.2499496472,0.05832793642620262,0.1591126587619598,0.0
33,561700.6970084438,58788.329832086805,1752797.230121183,0.0719696880674065,0.1188715002905783,0.0
46,597490.302254898,165218.82170773344,554749.3898661626,0.07207386950302397,0.15979332537470448,204782386.50019124
29,1333071.1608539305,122279.00884988974,2185476.561882787,0.052570332423592554,0.11596138465803243,0.0
30,4856942.044246209,127033.74701542286,394160.87918459834,0.040604627798680806,0.10050892679939263,113322853.28594226
46,1865029.5586598283,35601.42315702252,1390257.119478873,0.08737478883542854,0.1056748660955492,0.0
23,8074614.827467073,23456.040151952395,1118698.1247664266,0.06099585649928696,0.10393296088094459,0.0
42,2146228.815005863,178811.14052516816,1780006.4875145266,0.07440916262650452,0.1443063847354318,0.0
23,1871283.2034844216,87651.96451562223,2275404.940934418,0.05225832215023252,0.0978387987914528,0.0
24,7991604.334332132,171257.7409846072,2267652.5926035023,0.08256435825734154,0.14442836029129563,0.0
45,1411334.0707983798,22060.561004066032,1399961.8018427968,0.054179984862953647,0.10744780850765501,0.0
47,5336835.795224108,32806.05562997352,321560.2425484309,0.045627272387383955,0.12717046278291136,77247387.42487682
31,532984.1840266021,33132.62011473419,2391162.6361951204,0.08253782022969083,0.13832012529353754,0.0
25,8657988.39353252,66189.978808435,1442776.9527114194,0.04628461956524049,0.0921246213377063,0.0
26,6602921.516202398,31371.334323868086,558435.644570437,0.08142814560695896,0.14312162020538388,0.0
43,7682479.676045841,142366.23227233428,2325700.6329927905,0.07927384176251565,0.09292152191025994,0.0
35,2277562.0983716697,133698.15517770255,2073934.5572446715,0.06860190069769054,0.12941907103166095,0.0
45,8868710.055028949,54032.336184742315,894086.7698844712,0.08075126846235064,0.13304376219180225,0.0
34,5444255.8982938565,155290.08028791653,1138750.6936258501,0.08316343590066702,0.091281167247741,0.0
31,8225729.063018012,57237.65946485198,939586.8759020984,0.06980511617270818,0.0935846404481957,0.0
39,2787168.649234089,76978.67433915242,973570.9879561511,0.0462980303575507,0.1519219115903132,0.0
42,3911989.0477031474,23418.53256240658,2013934.8221578978,0.0507325771673505,0.14285342937043344,0.0
38,7448723.151180712,165966.2301133016,1251395.6378353373,0.057644891272811874,0.11934965642770523,53887185.955669485
22,8849892.183112966,163539.04408530632,1354473.474707594,0.06012599763324237,0.13991446889068465,262237833.02679616
23,342120.2512067764,134404.92044060724,2108723.2624589084,0.0889750102769124,0.15541547077209034,0.0
43,8135268.565982749,118730.9573031854,1637711.352901531,0.08605218239145952,0.1568966617993029,0.0
41,5817434.842377109,91237.96816394765,1685504.2374310335,0.043627739350228754,0.1210597233592607,0.0
22,1417812.1428614052,198219.42760247685,1537862.2437181985,0.08496080595986279,0.13195618625576896,0.0
29,9900329.841660853,10682.068771614002,2112035.0879357643,0.08349587256207272,0.09558570575486663,0.0
29,5207998.159699833,199313.30169164969,2086279.0024975897,0.08939658755750544,0.1363632359064077,0.0
45,6014824.510191026,182535.47500882726,459919.83715668845,0.08096270700809216,0.15330096573216367,267213262.0561499
29,4234361.932459766,72495.9086603983,1869321.3024625366,0.04538914630816776,0.13462341657449792,0.0
42,1572064.808433801,191787.7039543673,1829536.8162442031,0.08521907080664431,0.11181290580117681,0.0
22,2849357.248542276,106285.49187477314,831696.6959278244,0.08639314311863584,0.15680267712221824,0.0
32,7274818.561433255,105953.3699098213,1127707.5107022738,0.06903031109819145,0.1025644358095794,0.0
33,7300554.433156287,143923.05344421542,568616.7713644297,0.0785377575556183,0.09000169604097938,50998623.646975815
35,5207975.917669009,178333.62468934897,538999.5457639155,0.05767245337529847,0.15800442784334334,232383247.46221384
29,8852520.676380316,73949.6249005851,1097746.8006327879,0.07628151578741275,0.09060146388955581,0.0
37,4731015.55300677,90696.75594824078,600985.3750212985,0.054680934030993784,0.10920686920968584,16493786.902872346
46,5848876.373649107,104560.56670328908,1014632.0702298239,0.0840059879937857,0.10843136675504164,0.0
41,3033577.101297649,61463.582046613476,968389.0882141104,0.042969584218343494,0.11615065500179098,0.0
46,7283599.317930752,92219.08586179947,2186044.2316581067,0.08188376777551663,0.1157230797762566,0.0
32,6549316.888997383,107335.69900797072,1505665.9315057076,0.04597370101362809,0.08429804859500142,0.0
28,4140366.429486169,167682.3305953633,1326788.0932496826,0.07497516079479782,0.12325496439885847,0.0
24,1840354.476009952,103025.98683597895,459261.789660646,0.06684200259914186,0.15206100762417876,41112159.19212219
33,7992864.925183889,180939.2002521174,336007.4184116194,0.07575016421192345,0.11490476970569088,335260293.7666101
42,4645881.894962829,32311.503133156857,1718678.2861675455,0.0487877226347812,0.1180775615290928,0.0
46,9739348.352937683,72984.03412190152,560745.6888183504,0.07811017300725481,0.14588688246353615,25345130.479423832
34,154513.37076145015,23600.16986002515,950423.0146470489,0.05437111328796876,0.15457211472260085,0.0
49,8112305.450575929,114929.90477695773,1156632.4639234596,0.04418610660627373,0.15224153075183425,122225109.86633995
48,3641116.7813972775,192634.44451668888,1066176.5908489083,0.05629209837479846,0.13708225240740682,126436660.85561639
36,6523036.072522106,193721.80683204523,1956309.6543935982,0.04588243856721999,0.12809009091790557,0.0
30,1809099.3216396805,52809.335679690936,2278347.322324661,0.07495732595091217,0.08807547563729301,0.0
24,8835191.23265602,146903.62493315624,403075.5054673726,0.047667389217392386,0.15000601884306503,127549908.27132219
42,109979.40105183747,42654.074386665765,338943.5413261071,0.07476372152666545,0.10162151315347354,0.0
34,4280370.843542402,179444.27041002162,1386582.803816129,0.05606204314012355,0.12537228275714782,13869480.07554723
26,7460125.934159593,78223.72608027935,2268861.871180336,0.05826961200605024,0.13786750442268547,0.0
45,4309390.571875521,114392.36789132621,1795718.1889982803,0.07484968489864388,0.11641108656744052,0.0
28,206864.694150312,64294.4044561451,2128578.9247544,0.06568068333233083,0.14566259347678662,0.0
34,140347.441074959,155822.00154113132,1457915.3182084383,0.08240941791704078,0.15625791180109233,0.0
23,4247346.290409667,95564.21792804214,858521.8993676966,0.08591986827093885,0.15231156182251146,0.0
22,7880951.054715921,121046.41754763169,1270411.7053375777,0.06328828842432094,0.12201255033467245,0.0
37,5541766.504413759,196539.50203705503,1906103.4257599206,0.08863400079563405,0.10067232532376683,0.0
29,6800968.866047959,144206.33823469645,1740674.1261640724,0.0431854440190488,0.08321300838838562,0.0
43,1590901.6408274856,159389.8759199174,1337713.979482253,0.040532427627889264,0.1392002003143338,76500349.22007449
49,3014486.403269413,114939.56388111947,2328541.7640715735,0.05649680651259267,0.15074238164042641,0.0
36,2905534.3477459513,41618.3586801274,2157886.1123346654,0.04388228955027421,0.12471437693085873,0.0
43,6704706.874101692,74713.36918117561,823803.8633934017,0.0824604954299902,0.1068702895762263,0.0
27,4480760.317795765,13608.393062288958,1962542.1278812804,0.05342156451716317,0.12634084115607014,0.0
32,4004250.0988892596,193967.10562020727,388617.03397353383,0.04877120812918695,0.1124126426639736,386825980.8489813
22,4425581.616818858,35291.229887758425,685676.8814323696,0.06141043191470217,0.09585990606179752,0.0
49,3209722.510977138,19205.728658750842,444639.9411641431,0.0539608146723517,0.1432255805740184,0.0
47,5708925.103132047,64177.13204177684,2259056.1002524793,0.052029470617959074,0.15648384657777914,0.0
32,3312189.346252564,73785.3043549901,2300853.1429784955,0.04079527418607757,0.09862557145179883,0.0
32,1611312.0640385859,5925.569102663329,1723188.3643952438,0.06809241760473331,0.13045771706467932,0.0
37,5502357.221837714,164989.84084923184,1554116.0870975263,0.040585052378291415,0.1421982835465126,13058704.663873706
47,2240069.0117789186,49886.26136579725,729252.0484999164,0.07421012100386656,0.1063843040201574,0.0
